2026/09/09 18:46:28 using postgres stores (schema up to date)
2026/09/09 18:46:29 api listening on :8080
2026/09/09 18:46:37 http_request method=GET path=/openapi.yaml status=200 duration_ms=0 bytes=5804 remote_ip=::1 request_id=73b85f1df14d897e52d1da6b507cca36 user_agent="Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.6456"
2026/09/09 18:58:31 http_request method=GET path=/api/auth/me status=200 duration_ms=1024 bytes=330 remote_ip=::1 request_id=6e3c8c90b4f705d5a85aa09a992e52ea user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 18:58:31 http_request method=GET path=/api/spirit-houses status=200 duration_ms=149 bytes=447 remote_ip=::1 request_id=08987a315eefa8ef2300b398c1497fe7 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 18:58:31 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=312 bytes=809 remote_ip=::1 request_id=a106a3802283cadfd6c74a8c532c0481 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 18:58:32 http_request method=GET path=/api/spirits?q=&house_id=house_c1d3d28d0b8c736e7dacf348&area_id=&group_by_tablet=true&limit=25&offset=0 status=200 duration_ms=315 bytes=3623 remote_ip=::1 request_id=e436ff229fee630de87286d16d03bbdd user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:01:52 http_request method=GET path=/api/spirit-houses status=200 duration_ms=139 bytes=447 remote_ip=::1 request_id=77ec625950f39fb26dd1a60bd6459ce4 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:01:52 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=149 bytes=809 remote_ip=::1 request_id=5a9fbcb37f254935f77438a0d7863786 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:01:53 http_request method=GET path=/api/spirits?q=&house_id=house_c1d3d28d0b8c736e7dacf348&area_id=&group_by_tablet=true&limit=25&offset=0 status=200 duration_ms=201 bytes=3623 remote_ip=::1 request_id=928ee3667bb41dd8d6854f046d9e574c user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:11 http_request method=GET path=/api/auth/me status=200 duration_ms=96 bytes=330 remote_ip=::1 request_id=19a6aacc2ae4a669b19ebab0179f982d user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:11 http_request method=GET path=/api/spirit-houses status=200 duration_ms=98 bytes=447 remote_ip=::1 request_id=f6ecfed37110d7b2605c726e2fc15a51 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:11 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=145 bytes=809 remote_ip=::1 request_id=b9a770c1ccc320efad68783115738d36 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:11 http_request method=GET path=/api/spirits?q=&house_id=house_c1d3d28d0b8c736e7dacf348&area_id=&group_by_tablet=true&limit=25&offset=0 status=200 duration_ms=200 bytes=3623 remote_ip=::1 request_id=1d8aecf7cb19feccd6bc9cc3b38ed4db user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:20 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=200 bytes=809 remote_ip=::1 request_id=e5b501938307064d2f7ecb92d35103d7 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:21 http_request method=GET path=/api/spirits?tablet_id=import-tablet_cef2c8bc8bde087cf00df4ad&limit=500&offset=0 status=200 duration_ms=778 bytes=823 remote_ip=::1 request_id=d68a889cfce205866155046bd1912a8c user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:21 http_request method=GET path=/api/memorial-tablets?position_id=import-position_9e1a66e7ba1f7110305027dc status=200 duration_ms=853 bytes=488 remote_ip=::1 request_id=eed8ea7d14999dcfd65134c5f1ab69ef user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:39 http_request method=GET path=/api/spirit-houses status=200 duration_ms=140 bytes=447 remote_ip=::1 request_id=68217710be06263eeea269731f98f2c4 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:39 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=149 bytes=809 remote_ip=::1 request_id=043c8dc7038c64bf8cb451a4fd59df2b user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:39 http_request method=GET path=/api/memorial-tablets?house_id=house_c1d3d28d0b8c736e7dacf348&unplaced=true&q= status=200 duration_ms=192 bytes=15 remote_ip=::1 request_id=7cd70c857f7bdc994d0fddb5ebf18459 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:39 http_request method=GET path=/api/memorial-positions?area_id=area_89733302edf5e2a46220406d status=200 duration_ms=293 bytes=1547 remote_ip=::1 request_id=27bbf992ee89c5c45472560891d6ee18 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:41 http_request method=GET path=/api/spirit-houses status=200 duration_ms=138 bytes=447 remote_ip=::1 request_id=19e8c8fd782c6215f70f2756e3387607 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:41 http_request method=GET path=/api/memorial-occupancy?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=457 bytes=2938 remote_ip=::1 request_id=4989d712bfcaf84c92f01ba60d9fbfff user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:49 http_request method=GET path=/api/users status=200 duration_ms=189 bytes=662 remote_ip=::1 request_id=00d51e9f5dbc2173c21b6dc0b5b60265 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:02:49 http_request method=GET path=/api/spirit-houses status=200 duration_ms=230 bytes=447 remote_ip=::1 request_id=ac3e714ba6975db8db18b9cc42bf13d8 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:03:32 http_request method=GET path=/api/spirits?tablet_id=tablet_8dbf7ba97fb655d0e2d24785&limit=500&offset=0 status=200 duration_ms=240 bytes=1652 remote_ip=::1 request_id=a0b4d511bf186a6cb50e8843c963c817 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:03:32 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=288 bytes=809 remote_ip=::1 request_id=95b3fc10401c732d6b8684e67648f6b9 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:03:32 http_request method=GET path=/api/memorial-tablets?position_id=position_4f760a08331e43ab56a4e0bd status=200 duration_ms=465 bytes=590 remote_ip=::1 request_id=5ec510baad6257956ec88f7bc63ed4ab user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:05:21 http_request method=DELETE path=/api/spirits/spirit_970a2329e1bd4535c3c5f0a5 status=204 duration_ms=330 bytes=0 remote_ip=::1 request_id=7406285e63d9793ec44549b49d0f2597 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:05:21 http_request method=GET path=/api/spirits?q=&house_id=house_c1d3d28d0b8c736e7dacf348&area_id=&group_by_tablet=true&limit=25&offset=0 status=200 duration_ms=205 bytes=2902 remote_ip=::1 request_id=4910566a0f1f67a7f920a59cee1a15e0 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:05:46 http_request method=PUT path=/api/memorial-tablets/tablet_8dbf7ba97fb655d0e2d24785 status=200 duration_ms=929 bytes=503 remote_ip=::1 request_id=e371ff465022412307263654e5c8474f user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:05:46 http_request method=GET path=/api/spirits?q=&house_id=house_c1d3d28d0b8c736e7dacf348&area_id=&group_by_tablet=true&limit=25&offset=0 status=200 duration_ms=307 bytes=2903 remote_ip=::1 request_id=209ff1c5d9443fb41a7c793ee6abda10 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:05:52 http_request method=GET path=/api/spirits?tablet_id=tablet_8dbf7ba97fb655d0e2d24785&limit=500&offset=0 status=200 duration_ms=187 bytes=932 remote_ip=::1 request_id=ddb79aa3fe917aeda37fa5116d68b5b8 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:05:52 http_request method=GET path=/api/memorial-tablets?position_id=position_4f760a08331e43ab56a4e0bd status=200 duration_ms=281 bytes=591 remote_ip=::1 request_id=63b574daa89c8537e470575e668bfc64 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:05:52 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=297 bytes=809 remote_ip=::1 request_id=7424cae3f13fab23343c2edbb6f544db user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:06:31 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=191 bytes=809 remote_ip=::1 request_id=fec88ac1efb8466ec364a760bde11a74 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:06:31 http_request method=GET path=/api/spirits?tablet_id=tablet_8dbf7ba97fb655d0e2d24785&limit=500&offset=0 status=200 duration_ms=241 bytes=932 remote_ip=::1 request_id=2c42e5938958374c0ccf509b02c5fab0 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:06:31 http_request method=GET path=/api/memorial-tablets?position_id=position_4f760a08331e43ab56a4e0bd status=200 duration_ms=294 bytes=591 remote_ip=::1 request_id=f4788033b3c66f36772aed64142c6215 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
2026/09/09 19:07:50 http_request method=GET path=/api/memorial-areas?house_id=house_c1d3d28d0b8c736e7dacf348 status=200 duration_ms=193 bytes=809 remote_ip=::1 request_id=36024724f99e990c8758614db20bd0e0 user_agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
